한글명,영문명(INCI),CAS번호,카테고리,주요기능,출처/설명,이명,데이터출처
매스틱검,Pistacia Lentiscus (Mastic) Gum,"90082-82-9,61789-92-2",식약처 등재,,이 원료는 매스틱(Mastic) Pistacia lentiscus 나무에서 얻은 검이다.,,B (식약처)
매실수,Prunus Mume Fruit Water,,식약처 등재,,이 원료는 매실나무 (Prunus mume)의 열매를 수증기 증류하여 얻은 수용액이다.,,B (식약처)
매실추출물,Prunus Mume Fruit Extract,,식약처 등재,,이 원료는 매실나무 (Prunus mume)의 열매에서 추출한 것이다.,,B (식약처)
매실나무꽃수,Prunus Mume Flower Water,,식약처 등재,,이 원료는 매실나무 Prunus mume의 꽃을 수증기 증류하여 얻은 수용액이다.,매화수,B (식약처)
매실나무꽃추출물,Prunus Mume Flower Extract,,식약처 등재,,이 원료는 매실나무 Prunus mume의 꽃에서 추출한 것이다.,매화추출물,B (식약처)
구주소나무껍질추출물,Pinus Sylvestris Bark Extract,,식약처 등재,,이 원료는 구주소나무 Pinus sylvestris의 껍질에서 추출한 것이다.,,B (식약처)
소엽맥문동뿌리추출물,Ophiopogon Japonicus Root Extract,,식약처 등재,,이 원료는 소엽맥문동 Ophiopogon japonica 또는 백합과 다른 종의 뿌리에서 추출한 것이다.,맥문동추출물,B (식약처)
맥아추출물,Malt Extract,8002-48-0,식약처 등재,,이 원료는 부분적으로 발아된 그리고 건조된 보리 씨의 수용성 추출물을 증발하여 얻은 거무스름한 시럽이다.,,B (식약처)
머위뿌리추출물,Petasites Japonicus Root Extract,91845-41-9,식약처 등재,,이 원료는 머위 Petasites japonicus의 뿌리에서 추출한 것이다.,,B (식약처)
머위잎/줄기추출물,Petasites Japonicus Leaf/Stem Extract,,식약처 등재,,이 원료는 머위 (Petasites japonicus)의 줄기 및 잎에서 추출한 것이다.,,B (식약처)
우단담배풀추출물,Verbascum Thapsus Extract,"84012-25-9,90064-13-4",식약처 등재,,이 원료는 우단담배풀 Verbascum thapsus에서 추출한 것이다.,멀런추출물,B (식약처)
멍석딸기추출물,Rubus Parvifolius Fruit Extract,,식약처 등재,,이 원료는 멍석딸기 (Rubus parvifolius)의 딸기에서 추출한 것이다.,,B (식약처)
메도우폼델타-락톤,Meadowfoam Delta-Lactone,,식약처 등재,,이 원료는 주로 메도우폼씨오일 지방산에서 형성된 락톤이다.,,B (식약처)
메도우폼씨오일,Limnanthes Alba (Meadowfoam) Seed Oil,153065-40-8,식약처 등재,,이 원료는 메도우폼 (Limnanthes alba)의 씨에서 추출한 오일이다.,,B (식약처)
메밀씨추출물,Polygonum Fagopyrum (Buckwheat) Seed Extract,,식약처 등재,,이 원료는 메밀 (Polygonum fagopyrum)의 씨에서 추출한 것이다.,,B (식약처)
메밀잎추출물,Polygonum Fagopyrum (Buckwheat) Leaf Extract,89958-09-8,식약처 등재,,이 원료는 메밀(Buckwheat) Polygonum fagopyrum 잎에서 추출한 것이다.,,B (식약처)
구주소나무솔방울추출물,Pinus Sylvestris Cone Extract,94226-48-5,식약처 등재,,이 원료는 구주소나무 Pinus sylvestris의 솔방울에서 추출한 것이다.,,B (식약처)
메티오닌,Methionine,"63-68-3,59-51-8,348-67-4(D-)",식약처 등재,,이 원료는 다음의 구조를 갖는 아미노산이다.,메치오닌,B (식약처)
메티콘,Methicone,"63148-57-2,9004-73-3",식약처 등재,,이 원료는 선형의 모노메틸폴리실록세인이다. 주로 다음의 구조를 갖는다.,메치콘,B (식약처)
메틸글루세스-10,Methyl Gluceth-10,68239-42-9(generic),식약처 등재,,이 원료는 다음의 구조를 갖는 메틸글루코오스의 폴리에틸렌글라이콜에터며 n은 평균 10이다.,메칠글루세스-10,B (식약처)
메틸글루세스-20,Methyl Gluceth-20,68239-42-9(Generic),식약처 등재,,이 원료는 다음의 구조를 갖는 메틸글루코오스의 폴리에틸렌글라이콜에터며 n은 평균 20이다.,메칠글루세스-20,B (식약처)
메틸글루세스-20벤조에이트,Methyl Gluceth-20 Benzoate,,식약처 등재,,이 원료는 메틸글루세스-20과 벤조익애씨드의 에스터이다.,메칠글루세스-20벤조에이트,B (식약처)
메틸글루카민,Methylglucamine,6284-40-8,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠글루카민,B (식약처)
메틸글루코오스다이올리에이트,Methyl Glucose Dioleate,"122703-32-6,82933-91-3",식약처 등재,,이 원료는 메틸글루코사이드와 올레익애씨드의 다이에스터이다.,메칠글루코오스디올리에이트,B (식약처)
메틸글루코오스세스퀴스테아레이트,Methyl Glucose Sesquistearate,68936-95-8,식약처 등재,,이 원료는 메틸글루코사이드와 스테아릭애씨드의 모노- 혹은 다이에스터의 혼합물이다.,메칠글루코오스세스퀴스테아레이트,B (식약처)
메틸니코티네이트,Methyl Nicotinate,93-60-7,식약처 등재,,이 원료는 메틸알코올 및 니코티닉애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠니코티네이트,B (식약처)
메틸다이-t-부틸하이드록시하이드로신나메이트,Methyl Di-t-butyl Hydroxyhydrocinnamate,6386-38-5,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠디-t-부틸하이드록시하이드로신나메이트,B (식약처)
구주소나무싹추출물,Pinus Sylvestris Bud Extract,,식약처 등재,,이 원료는 구주소나무 Pinus sylvestris의 싹에서 추출한 것이다.,,B (식약처)
메틸다이아이소프로필프로피온아마이드,Methyl Diisopropyl Propionamide,51115-67-4,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠디이소프로필프로피온아마이드,B (식약처)
메틸다이하이드로자스모네이트,Methyldihydrojasmonate,"2630-39-9,24851-98-7",식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠디하이드로자스모네이트,B (식약처)
2-메틸레조시놀,2-Methylresorcinol,608-25-3,식약처 등재,,이 원료는 다음의 구조를 갖는 방향족 화합물이다.,2-메칠레조시놀,B (식약처)
메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,103597-45-1,식약처 등재,,이 원료는 다음의 구조를 갖는 헤테로사이클릭 화합물이다,,B (식약처)
메틸3-메틸레조실레이트,Methyl 3-Methylresorcylate,33662-58-7,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠3-메칠레조실레이트,B (식약처)
메틸메타크릴레이트/글라이콜다이메타크릴레이트크로스폴리머,Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer,25777-71-3,식약처 등재,,이 원료는 메틸메타크릴레이트와 에틸글라이콜다이메타크릴레이트모노머의 교차공중합체이다.,메칠메타크릴레이트/글라이콜디메타크릴레이트크로스폴리머,B (식약처)
메틸메타크릴레이트/아크릴로나이트릴코폴리머,Methyl Methacrylate/Acrylonitrile Copolymer,30396-85-1,식약처 등재,,이 원료는 메틸메타크릴레이트 및 아크릴로나이트릴모노머의 공중합체이다.,메칠메타크릴레이트/아크릴로나이트릴코폴리머,B (식약처)
메틸메타크릴레이트크로스폴리머,Methyl Methacrylate Crosspolymer,25777-71-3,식약처 등재,,이 원료는 글라이콜다이메타크릴레이트와 가교된 메틸메타크릴레이트의 공중합체이다.,메칠메타크릴레이트크로스폴리머,B (식약처)
메틸벤조에이트,Methyl Benzoate,93-58-3,식약처 등재,,이 원료는 다음의 구조를 갖는 메틸알코올과 벤조익애씨드의 에스터이다.,메칠벤조에이트,B (식약처)
구주소나무잎오일,Pinus Sylvestris Leaf Oil,8023-99-2,식약처 등재,,이 원료는 구주소나무 Pinus sylvestris의 바늘잎에서 얻은 휘발성 오일이다.,,B (식약처)
4-메틸벤즈알데하이드,4-Methylbenzaldehyde,104-87-0,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,4-메칠벤즈알데하이드,B (식약처)
4-메칠벤질리덴캠퍼,4-Methylbenzylidene Camphor,"36861-47-9,38102-62-4",식약처 등재,,이 원료는 다음의 구조를 갖는 방향족 유기화합물이다.,4-메틸벤질리덴캠퍼,B (식약처)
메틸사이클로덱스트린,Methyl Cyclodextrin,128446-36-6,식약처 등재,,이 원료는 사이클로덱스트린을 메틸화하여 얻은 생성물이다.,메칠사이클로덱스트린,B (식약처)
메틸살리실레이트,Methyl Salicylate,119-36-8,식약처 등재,,이 원료는 다음의 구조를 갖는 메틸알코올과 살리실릭애씨드의 에스터이다.,메칠살리실레이트,B (식약처)
메틸세린,Methylserine,2480-26-4,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠세린,B (식약처)
메틸셀룰로오스,Methylcellulose,9004-67-5,식약처 등재,,이 원료는 셀룰로오스의 메틸에터이다.,메칠셀룰로오스,B (식약처)
메틸소이에이트,Methyl Soyate,"67784-80-9,68919-53-9",식약처 등재,,이 원료는 메틸알코올과 소이애씨드의 에스터이다. 주로 다음의 구조를 갖으며 RCO-는 콩오일에서 얻은 지방산이다.,메칠소이에이트,B (식약처)
메틸스타이렌/비닐톨루엔코폴리머,Methylstyrene/Vinyltoluene Copolymer,9017-27-0,식약처 등재,,이 원료는 메틸스타이렌과 비닐톨루엔 모노머들의 중합체이다.,메칠스타이렌/비닐톨루엔코폴리머,B (식약처)
메틸실란올만누로네이트,Methylsilanol Mannuronate,102397-69-3,식약처 등재,,이 원료는 모노메틸실란올 및 올리고머릭만누로닉애씨드의 에스터이다. 주로 다음의 구조를 갖는다.,메칠실라놀만누로네이트,B (식약처)
메틸실란올카복시메틸테오필린알지네이트,Methylsilanol Carboxymethyl Theophylline Alginate,,식약처 등재,,이 원료는 메틸실란올카복시메틸테오필린과 알지닉애씨드의 반응물이다.,메칠실라놀카복시메칠테오필린알지네이트,B (식약처)
구주소나무잎추출물,Pinus Sylvestris Leaf Extract,84012-35-1,식약처 등재,,이 원료는 구주소나무 Pinus sylvestris의 잎에서 추출한 것이다.,,B (식약처)
메틸실란올피이지-7글리세릴코코에이트,Methylsilanol PEG-7 Glyceryl Cocoate,,식약처 등재,,이 원료는 다음의 구조를 갖는 에톡실화된 에스터이며 RCO-는 코코넛오일로 부터 얻은 지방산 라디칼이다.,메칠실라놀피이지-7글리세릴코코에이트,B (식약처)
메틸실란올하이드록시프롤린아스파테이트,Methylsilanol Hydroxyproline Aspartate,,식약처 등재,,이 원료는 메틸실란올 하이드록시프롤린과 아스파틱애씨드의 반응물이다.,메칠실라놀하이드록시프롤린아스파테이트,B (식약처)
메틸실란올/실리케이트크로스폴리머,Methylsilanol/Silicate Crosspolymer,68584-81-6,식약처 등재,,이 원료는 실리카와 메틸실란올의 반응에 의해 얻은 크로스폴리머이다.,메칠실란올/실리케이트크로스폴리머,B (식약처)
메틸실란올트라이-피이지-8글리세릴코코에이트,Methylsilanol Tri-PEG-8 Glyceryl Cocoate,,식약처 등재,,이 원료는 다음의 구조를 갖는 에톡실화된 에스터다. RCO-는 코코넛오일에서 얻은 지방산 라디칼이다.,메칠실란올트리-피이지-8글리세릴코코에이트,B (식약처)
메틸아세테이트,Methyl Acetate,79-20-9,식약처 등재,,이 원료는 메틸알코올과 아세틱애씨드의 에스터이다.,메칠아세테이트,B (식약처)
메틸안트라닐레이트,Methyl Anthranilate,134-20-3,식약처 등재,,이 원료는 메틸알코올과 2-아미노벤조익애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠안트라닐레이트,B (식약처)
메틸2-옥티노에이트,Methyl 2-Octynoate,111-12-6,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠2-옥티노에이트,B (식약처)
메틸유제놀,Methyl Eugenol,93-15-2,식약처 등재,,이 원료는 다음의 구조를 갖는 방향족 화합물이다.,메칠유제놀,B (식약처)
메틸유제닐피이지-8다이메티콘,Methyleugenyl PEG-8 Dimethicone,200443-93-2,식약처 등재,,이 원료는 메틸유제닐다이메티콘 및 피이지-8다이메티콘의 공중합체이다.,메칠유제닐피이지-8디메치콘,B (식약처)
메칠이소치아졸리논,Methylisothiazolinone,2682-20-4,식약처 등재,,이 원료는 다음의 구조를 갖는 헤테로사이클릭 유기화합물이다.,,B (식약처)
암브레트씨추출물,Hibiscus Abelmoschus Seed Extract,,식약처 등재,,이 원료는 암브레트 Hibiscus abelmoschus의 씨에서 추출한 것이다.,구주아욱씨추출물,B (식약처)
메틸카프로에이트,Methyl Caproate,106-70-7,식약처 등재,,이 원료는 메틸알코올과 카프로익애씨드의 에스터이다. 주로 다음의 구조를 갖는다.,메칠카프로에이트,B (식약처)
메틸코코에이트,Methyl Cocoate,61788-59-8,식약처 등재,,이 원료는 코코넛 지방산과 메틸알코올의 에스터이다. 주로 다음의구조를 갖으며 RCO-는 코코넛오일로부터 얻은 지방산이다.,메칠코코에이트,B (식약처)
메칠클로로이소치아졸리논,Methylchloroisothiazolinone,26172-55-4,식약처 등재,,이 원료는 다음의 구조를 갖는 헤테로사이클릭 유기화합물이다.,,B (식약처)
메틸타이로시네이트에이치씨엘,Methyl Tyrosinate HCl,3417-91-2,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠타이로시네이트에이치씨엘,B (식약처)
메틸트라이메티콘,Methyl Trimethicone,17928-28-8,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠트리메치콘,B (식약처)
메틸파라벤,Methylparaben,99-76-3,식약처 등재,,이 원료는 메틸알코올과 파라-하이드록시벤조익애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠파라벤,B (식약처)
메틸퍼플루오로부틸에터,Methyl Perfluorobutyl Ether,163702-07-6,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠퍼플루오로부틸에텔,B (식약처)
메틸퍼플루오로아이소부틸에터,Methyl Perfluoroisobutyl Ether,163702-08-7,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠퍼플루오로이소부틸에텔,B (식약처)
메틸페닐부탄올,Methyl Phenylbutanol,103-05-9,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠페닐부탄올,B (식약처)
메틸펠라고네이트,Methyl Pelargonate,1731-84-6,식약처 등재,,이 원료는 메틸알코올과 펠라고닉애씨드의 에스터이다. 다음의 구조를 갖는다.,메칠펠라고네이트,B (식약처)
칡뿌리가루,Pueraria Lobata Root Powder,,식약처 등재,,이 원료는 칡 Pueraria lobata(=Pueraria thunbergiana)의 뿌리를 건조하여 가루로 한 것이다.,갈근가루,B (식약처)
암브레트추출물,Hibiscus Abelmoschus Extract,84455-19-6,식약처 등재,,이 원료는 암브레트 Hibiscus abelmoschus의 전초에서 추출한 것이다.,구주아욱추출물,B (식약처)
메칠폴리실록산에멀젼,Methylpolysiloxane Emulsion,,식약처 등재,,,,B (식약처)
메틸프로판다이올,Methylpropanediol,2163-42-0,식약처 등재,,이 원료는 다음의 구조를 갖는 유기화합물이다.,메칠프로판디올,B (식약처)
